Monaco,22461,23289,25203,26752,28836,29433,30731,32148,33842,35609,37723,38070,38392,38682,38967,39244,39528,39810
Mongolia,955514,1107121,1479646,1689622,1921889,2184139,2298017,2397417,2526429,2719902,2998433,3056358,3113788,3170214,3225166,3278292,3333127,3387431
Montenegro,480579,526327,546487,572608,605398,606372,611712,604950,614261,619428,622159,622303,622373,622227,622028,621306,620950,620524
Morocco,12328532,14230163,17796171,19990006,22499111,24807461,26994255,28793672,30455563,32343384,34663608,35126274,35581257,36029089,36471766,36910558,37353658,37795181
Mozambique,7184870,8039217,10165216,11630194,12764385,12987292,15483277,17711925,20493927,23531567,27042001,27829930,28649007,29496009,30366043,31255435,32124244,33000322
Myanmar,21736947,24259356,30611093,34224316,37977087,41335188,43901598,46719698,48949931,50600827,52680724,53045199,53382521,53708318,54045422,54409794,54752218,55100185
Namibia,634138,716588,947925,1057723,1198149,1432899,1627866,1794583,1938316,2118877,2314901,2358044,2402623,2448300,2494524,2540916,2587014,2633252
Nauru,4377,5859,7178,7751,8501,9506,10626,10335,9848,10009,10374,10474,10577,10678,10764,10834,10920,11001
Nepal,10105060,10972912,13420367,15016408,16858315,18905480,21576074,23941099,25744500,27013207,27015033,27263430,27632682,28095712,28608715,29136808,29638183,30152340
Netherlands,11486631,12294732,13666335,14149800,14491632,14951510,15459006,15925513,16319868,16615394,16939923,17030314,17131296,17231624,17344874,17441139,17544420,17648685
New Caledonia,79000,90500,132500,140050,154450,170899,193816,213230,232250,249750,268700,269350,270000,270650,271300,271960,272613,273267
New Zealand,2371800,2628400,3083100,3112900,3247100,3329800,3673400,3857700,4133900,4350700,4609400,4714100,4813600,4900600,4979300,5084300,5174533,5265844
Nicaragua,1773132,2068379,2806859,3265520,3734343,4173435,4652185,5069310,5438692,5824058,6223234,6303970,6384843,6465502,6545503,6624554,6704458,6784110
Niger,3388774,3914118,5184940,5989000,6915994,8026592,9490289,11331561,13624474,16464025,20001663,20788789,21602388,22442831,23310719,24206636,25074719,25952015
Nigeria,45138460,50127920,63374289,73423646,83562776,95212454,107948339,122283853,138865014,158503203,181137454,185960244,190873247,195874685,200963603,206139587,211228367,216346261
North Korea,11424189,12547524,16274737,17472144,18877226,20293057,21862300,22929078,23904167,24548840,25183832,25307665,25429816,25549606,25666158,25778815,25895148,26010329
North Macedonia,1488670,1592437,1803008,1924203,1981536,1996218,1983259,2026350,2036855,2055004,2070226,2072490,2074502,2076217,2076694,2072531,2071874,2070426
Norway,3581239,3723168,4007313,4085620,4152516,4241473,4359184,4490967,4623291,4889252,5188607,5234519,5276968,5311916,5347896,5379475,5413644,5447553
